file_name,text
03885_00.jpg,"A portrait of a slim brunette woman in her thirties, plain background."
03252_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
08161_00.jpg,"A portrait of a slim indian woman in her thirties, plain background."
02583_00.jpg,"A portrait of an average black woman in her thirties, plain background."
12476_00.jpg,"A portrait of a slim black woman in her thirties, plain background."
10429_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
00181_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
03323_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
08329_00.jpg,"A portrait of a slim black woman in her twenties, plain background."
06109_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
12255_00.jpg,"A portrait of a slim brunette woman in her thirties, plain background."
04139_00.jpg,"A portrait of a slim black woman in her thirties, plain background."
03529_00.jpg,"A portrait of a slim asian woman in her twenties, plain background."
10845_00.jpg,"A portrait of a slim asian woman in her thirties, plain background."
11518_00.jpg,"A portrait of a slim brunette woman in her twenties, plain background."
13405_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
08472_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
10505_00.jpg,"A portrait of an average white woman in her thirties, plain background."
06859_00.jpg,"A portrait of a slim brunette woman in her twenties, plain background."
03129_00.jpg,"A portrait of a pregnant asian woman in her thirties, plain background."
14120_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
05795_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
10680_00.jpg,"A portrait of a slim black woman in her twenties, plain background."
04290_00.jpg,"A portrait of an average white woman in her thirties, plain background."
13618_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
03078_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
05657_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
08126_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
07472_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
11810_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
12408_00.jpg,"A portrait of a slim black woman in her twenties, plain background."
02219_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
08609_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
14455_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
03840_00.jpg,"A portrait of a slim white woman in her twenties, plain background."
05459_00.jpg,"A portrait of a slim asian woman in her thirties, plain background."
07955_00.jpg,"A portrait of a slim white woman in her thirties, plain background."
